name,url,commit
lemurs,https://github.com/coastalwhite/lemurs.git,7151336a100e7a6266ec329d6cc356dec5c087ad
rat-commander,https://github.com/dividebysandwich/rat-commander.git,4fd584c7beb939e3cf70dd73d5311be3e33bf84e
xwayland-satellite,https://github.com/Supreeeme/xwayland-satellite.git,add2795134593faafce60e404a0a75df68e9ee0c
lazy-git,https://github.com/jesseduffield/lazygit.git,17cb09fa7b08bc96d9f0e81b91f4720fc1a36700
lazy-spotify,https://github.com/dubeyKartikay/lazyspotify.git,4fc759a1a7b244ebf7c1f355627de74d97ed6c2f
