name,url,commit
lemurs,https://github.com/coastalwhite/lemurs.git,7151336a100e7a6266ec329d6cc356dec5c087ad
rat-commander,https://github.com/dividebysandwich/rat-commander.git,93771508f6216684b1211a41b3495af46f3b10c1
bluetui,https://github.com/pythops/bluetui.git,0ac17bf8bba97c364a3e409f418356063f6b15a2
flatbar,https://github.com/harbornode-ca/flatbar.git,557028347ed95ea5b5793c914e5ce907adc347db
