fg,"#ebdbb2"
bg,"#1d2021"
black,"#1d2021
red,#cc241d"
green,#98971a
yellow,"#d79921"
blue,"#458588"
magenta,"#b16286"
cyan,"#689d6a"
white,"#a89984"
brblack,"#928374"
brred,"#fb4934"
brgreen,"#b8bb26"
bryellow,"#fabd2f"
brblue,"#83a598"
brmagenta,"#d3869b"
brcyan,"#8ec07c"
brwhite,"#ebdbb2"
